id_ciudad,ciudad,latitud,longitud,geolabel
270,San Antonio de Padua,-34.6667,-58.7,San Antonio de Padua-Argentina
271,San Bernardo,-27.2667,-60.7,San Bernardo-Argentina
272,San Carlos de Bariloche,-41.15,-71.3,San Carlos de Bariloche-Argentina
273,San Carlos de Bolivar,-36.25,-61.1,San Carlos de Bolivar-Argentina
274,San Cosme,-27.5167,-58.5667,San Cosme-Argentina
275,San Fernando,-34.45,-58.5667,San Fernando-Argentina
276,San Francisco,-31.4356,-62.0714,San Francisco-Argentina
277,San Francisco Solano,-34.7667,-58.3167,San Francisco Solano-Argentina
278,San Ignacio,-27.2583,-55.5392,San Ignacio-Argentina
279,San Isidro,-34.4667,-58.5167,San Isidro-Argentina
280,San Isidro,-28.4333,-65.7167,San Isidro-Argentina
281,San Isidro de Lules,-26.9333,-65.35,San Isidro de Lules-Argentina
282,San Javier,-27.8739,-55.1347,San Javier-Argentina
283,San Jose,-28.3667,-65.7,San Jose-Argentina
284,San Juan,-31.5342,-68.5261,San Juan-Argentina
285,San Justo,-34.6833,-58.55,San Justo-Argentina
286,San Justo,-30.7833,-60.5833,San Justo-Argentina
287,San Lorenzo,-28.12,-58.77,San Lorenzo-Argentina
288,San Lorenzo,-32.75,-60.7333,San Lorenzo-Argentina
289,San Luis,-33.3,-66.3333,San Luis-Argentina
290,San Luis del Palmar,-27.5167,-58.5667,San Luis del Palmar-Argentina
291,San Martin,-33.0806,-68.4706,San Martin-Argentina
292,San Martin,-31.4397,-68.5206,San Martin-Argentina
293,San Martin de los Andes,-40.1667,-71.35,San Martin de los Andes-Argentina
294,San Miguel,-34.5333,-58.7167,San Miguel-Argentina
295,San Miguel de Tucuman,-26.8167,-65.2167,San Miguel de Tucuman-Argentina
296,San Miguel del Monte,-35.4396,-58.8067,San Miguel del Monte-Argentina
297,San Nicolas de los Arroyos,-33.3333,-60.2167,San Nicolas de los Arroyos-Argentina
298,San Pedro,-33.6792,-59.6669,San Pedro-Argentina
299,San Pedro,-24.2196,-64.87,San Pedro-Argentina
300,San Pedro,-26.6292,-54.1133,San Pedro-Argentina
301,San Rafael,-34.6,-68.3333,San Rafael-Argentina
302,San Ramon de la Nueva Oran,-23.1333,-64.3333,San Ramon de la Nueva Oran-Argentina
303,San Roque,-28.5667,-58.7167,San Roque-Argentina
304,San Salvador,-31.6167,-58.5,San Salvador-Argentina
305,San Salvador de Jujuy,-24.1833,-65.3,San Salvador de Jujuy-Argentina
306,San Vicente,-35.0167,-58.4167,San Vicente-Argentina
307,Santa Ana,-27.35,-55.6,Santa Ana-Argentina
308,Santa Fe,-31.6333,-60.7,Santa Fe-Argentina
309,Santa Lucia,-28.9833,-59.1,Santa Lucia-Argentina
310,Santa Lucia,-31.5399,-68.495,Santa Lucia-Argentina
311,Santa Rosa,-36.6167,-64.2833,Santa Rosa-Argentina
312,Santa Rosa de Rio Primero,-31.15,-63.3833,Santa Rosa de Rio Primero-Argentina
313,Santa Rosa del Conlara,-32.3428,-65.2089,Santa Rosa del Conlara-Argentina
314,Santiago del Estero,-27.7833,-64.2667,Santiago del Estero-Argentina
315,Santo Tome,-31.6667,-60.7667,Santo Tome-Argentina
316,Santo Tome,-28.55,-56.05,Santo Tome-Argentina
317,Sarandi,-34.6833,-58.3333,Sarandi-Argentina
318,Sastre,-31.75,-61.8333,Sastre-Argentina
319,Simoca,-27.2667,-65.3333,Simoca-Argentina
320,Suipacha,-34.7702,-59.6878,Suipacha-Argentina
321,Tafi Viejo,-26.7333,-65.2667,Tafi Viejo-Argentina
322,Tandil,-37.3167,-59.1333,Tandil-Argentina
323,Tartagal,-22.5,-63.8333,Tartagal-Argentina
324,Temperley,-34.7667,-58.3833,Temperley-Argentina
325,Termas de Rio Hondo,-27.4833,-64.8667,Termas de Rio Hondo-Argentina
326,Tigre,-34.5,-58.6167,Tigre-Argentina
327,Tilcara,-23.5667,-65.3667,Tilcara-Argentina
328,Tolosa,-34.8942,-57.9647,Tolosa-Argentina
